"","Accession_ID","Integrated_P1","Integrated_P2"
"374","09C141P001","05C115P005","05C165P001"
"375","09C142P001","05C165P001","05C117P005"
"376","09C144P003","05C165P001","05C197P002"
"377","09C153P602","04C009P005","NA"
"378","09C154P603","04C009P005","05C206P005"
"379","09C154P605","05C206P005","04C076P004"
"380","09C161P006","06C137P002","04C076P004"
"381","09C166P007","05C132P001","05C206P005"
"382","09C171P602","06C137P002","04C076P004"
"383","09C180P001","05C205P002","06C171P005"
"384","09C185P005","06C137P002","06C132P001"
"385","09C185P006","06C137P002","06C132P001"
"386","101P292","NA","NA"
"387","102101","Ariel","PI617019"
"388","102201","Fenella","Festivalnaja"
"389","102401","Fenella","Orleans"
"390","102601","Sonata","Festivalnaja"
"391","102Y11","NA","NA"
"392","103001","Elegance","Rubinovy_Kulon"
"393","103301","Lucy","Festivalnaja"
"394","103701","98.167.1","PI617019"
"395","103801","L_181","PI617019"
"396","104001","Asia","Desnianka"
"397","104002","Asia","Desnianka"
"398","104601","Salut","PI551579"
"399","104701","Darselect","NA"
"400","1084-1","Carisma","Tudnew"
"401","108V31","NA","NA"
"402","10A","NA","NA"
"403","10-B","NA","NA"
"404","10B131","NA","NA"
"405","10C001P603","05C054P611","06C020P605"
"406","10C001P604","05C054P611","06C020P605"
"407","10C001P609","05C054P611","NA"
"408","10C003P601","06C020P605","06C066P603"
"409","10C005P602","06C137P002","NA"
"410","10C007P003","05C054P611","07C064P003"
"411","10C008P001","07C064P003","06C020P605"
"412","10C012P002","06C020P605","07C132P003"
"413","10C012P003","06C020P605","07C132P003"
"414","10C012P605","06C020P605","07C132P003"
"415","10C012P610","06C020P605","07C132P003"
"416","10C015P605","07C064P003","07C132P003"
"417","10C017P001","06C020P605","07C134P001"
"418","10C017P002","06C020P605","07C134P001"
"419","10C022P601","05C054P611","05C027P605"
"420","10C023P001","05C107P002","05C027P605"
"421","10C024P002","05C108P007","05C027P605"
"422","10C025P601","05C027P605","06C016P602"
"423","10C028P602","05C054P611","05C065P608"
"424","10C028P603","05C054P611","05C065P608"
"425","10C030P001","05C108P007","05C065P608"
"426","10C031P602","05C065P608","06C016P602"
"427","10C037P604","06C016P602","06C050P611"
"428","10C038P601","06C050P611","07C064P003"
"429","10C041P005","05C107P002","07C033P001"
"430","10C045P001","07C134P001","07C033P001"
"431","10C053P001","05C107P002","07C120P003"
"432","10C055P002","06C016P602","07C120P003"
"433","10C056P003","07C064P003","07C120P003"
"434","10C056P004","07C064P003","07C120P003"
"435","10C065P001","06C043P603","06C020P605"
"436","10C070P602","06C043P603","06C020P605"
"437","10C076P604","06C020P605","06C051P609"
"438","10C076P607","06C020P605","06C051P609"
"439","10C076P609","06C020P605","06C051P609"
"440","10C077P601","06C051P609","06C066P603"
"441","10C078P603","06C137P002","06C051P609"
"442","10C080P601","06C051P609","07C132P003"
"443","10C080P605","06C051P609","07C132P003"
"444","10C081P001","06C051P609","07C141P001"
"445","10C082P001","06C111P001","NA"
"446","10C082P601","06C111P001","06C020P605"
"447","10C082P602","06C111P001","NA"
